"순번","시군구코드","건물군일련번호","도로명코드","도로구간일련번호","기초구간일련번호","건물군명","건물군명영문","입력방법","위도","경도"
"29604","11260","214","4118465","254","4069"," ","Mangu3Dong Crime Prevention Guards","1","37.5947098","127.1017779"
"29607","11260","164","4118398","50","1902"," "," ","1","37.5946693","127.0915914"
"29611","11230","2465","4115477","2148","18643"," "," ","1","37.5894932","127.0409221"
"29614","11305","1676","3000004","3856","31502"," "," ","1","37.6353113","127.0297112"
"29618","11320","277","4127177","232","7991"," "," ","1","37.6786587","127.0361074"
"29619","11320","1382","4127104","81","2495","다보베스트빌"," "," ","37.6496486","127.037251"
"29620","11305","1204","4124130","3561","24128"," "," ","1","37.6313855","127.0219788"
"29622","11305","657","4124289","3134","15027"," "," ","1","37.6279994","127.0143724"
"29623","11320","669","4127177","1194","17283"," "," ","1","37.6800306","127.0366655"
"29625","11305","941","4124574","3427","20146"," "," ","1","37.6427433","127.029302"
"29626","11305","1518","4124471","3842","30552"," "," ","1","37.6230879","127.0153655"
"29628","11305","1028","4124450","3476","21481"," "," ","1","37.61816","127.0315733"
"29629","11320","653","3109001","1098","16798"," "," ","1","37.6675749","127.0394169"
"29630","11290","2257","4121140","4485","38289"," "," "," ","37.6090664","127.0084998"
"29632","11305","71","4124375","460","1669"," "," ","1","37.6176745","127.0279775"
"29633","11290","2262","3107006","4507","38446"," "," "," ","37.6053907","127.0141188"
"29927","11305","383","4124453","1981","9387"," "," ","1","37.6199818","127.033117"
"29929","11305","1013","4124462","3463","21164","북서울꿈의교회"," ","1","37.6263305","127.0436284"
"29933","11230","2562","4115494","2194","19025"," "," "," ","37.5872106","127.0350283"
"29939","11260","958","4118494","3398","29213"," "," "," ","37.6071442","127.0974847"
"29942","11230","1519","4115286","1323","11967"," "," ","1","37.5783043","127.0406216"
"29944","11260","860","4118411","3157","26171"," "," ","1","37.6003039","127.0870402"
"29945","11260","1152","3106010","4109","34234","벧엘장로교회","Bedeljangnogyohoe"," ","37.6089184","127.0761175"
"29946","11230","3010","4115014","2515","23677"," "," ","1","37.5809468","127.0414512"
